Player,Position,WT,Team,Conference,NBA_Draft_Status,Allstar_year,Life_Event,Event_date,PM_monthprev,PM_monthafter
Giannis Antetokounmpo,F,222,Milwaukee Bucks,Eastern ,2013 Rnd 1 Pick 15,,Null,,,
Jimmy Butler,GF,231,Minnesota Timberwolves,Western,2011 Rnd 1 Pick 30,,Null,,,
Joel Embiid,C,250,Philadelphia Sixers,Eastern,2014 Rnd 1 Pick 3,,Null,,,
Karl-Anthony Towns,C,244,Minnesota Timberwolves,Western,2015 Rnd 1 Pick 1,,Null,,,
Bradley Beal,SG,207,Washington Wizards,Eastern,2012 Rnd 1 Pick 3,,Null,,,
Goran Dragic,G,190,Miami Heat,Eastern,2008 Rnd 2 Pick 15,No,Birth,11/1/2013,2.7,4.9
Goran Dragic,G,190,Miami Heat,Eastern,2008 Rnd 2 Pick 15,No,Birth,8/1/2015,-5.3,2.4
Goran Dragic,G,190,Miami Heat,Eastern,2008 Rnd 2 Pick 15,No,Married,8/1/2013,2.7,4.9
Victor Oladipo,G,210,Indiana Pacers,Eastern,2013 Rnd 1 Pick 2,,Null,,,
Kristaps Porzingis,FC,240,New York Knicks,Eastern,2015 Rnd 1 Pick 4,,Null,,,
DeMarcus Cousins,C,270,Sacramento Kings,Western,2010 Rnd 1 Pick 5,,Null,,,
Stephen Curry,G,190,Golden State Warriors,Western,2009 Rnd 1 Pick 7,No,Married,7/30/2011,6.7,-5.3
Stephen Curry,G,190,Golden State Warriors,Western,2009 Rnd 1 Pick 7,No,Birth,7/19/2012,7.5,0.6
Stephen Curry,G,190,Golden State Warriors,Western,2009 Rnd 1 Pick 7,Yes,Birth,7/10/2015,9,15.9
Anthony Davis,PF,253,New Orleans Pelicans,Western,2012 Rnd 1 Pick 1,,Null,,,
Kevin Durant,SF,240,Golden State Warriors,Western,2007 Rnd 1 Pick 2,,Null,,,
Marc Gasol,C,255,Memphis Grizzlies,Western,2007 Rnd 2 Pick 18,No,Married,7/7/2013,7.1,0.3
